Species,Tissue Class,Tissue Type,Cancer,Cell Type,Cell Marker,Source,Supported Sources,Details
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Selo,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Selplg,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Sema3a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Sema3c,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sema3d,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sema3d,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Sema3d,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sema3e,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Sema3e,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Sema3f,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Sema4d,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Sema4g,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sema5a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron-selective cell,Sema5b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sema5b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sema6b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sema6d,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sema7a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,4-Sep,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,4-Sep,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,6-Sep,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sephs2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sepp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Sepw1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Serinc3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Serinc5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Serp2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Serp2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Serpine2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Serpinf1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Serping1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sertad1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sertm1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Sertm1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Sestd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sestd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Setx,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Sez6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sez6l2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sf3a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sfmbt1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Sfrp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Sfrs18,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sfxn3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Sfxn5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sfxn5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Martinotti cell,Sgcd,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sgk3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Sgms1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sgpl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sgsm1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sh2d7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Sh2d7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sh3bgr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Sh3bgr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Sh3bgrl,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sh3bgrl,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sh3bgrl2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sh3bp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Sh3bp4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sh3bp4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sh3bp5l,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sh3d19,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sh3kbp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Sh3pxd2b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Shb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Shc3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Shd,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Shisa2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Shisa4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Shroom3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Shroom3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Siah3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Siglech,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sik1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sipa1l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Sirpa,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Sirpa,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Martinotti cell,Sirt4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sirt5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Early neuroblast,Six1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Six4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Skap1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Skap2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc11a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Slc12a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron-selective cell,Slc12a4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Slc15a5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slc16a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc16a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Slc16a12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Slc17a6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc17a7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Slc19a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc19a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Slc1a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Slc1a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neural stem cell,Slc1a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc20a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc20a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Slc22a15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc22a15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc22a23,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slc22a8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Slc25a13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc25a14,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc25a25,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Slc25a29,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc25a36,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc25a46,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc25a51,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Slc27a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Slc27a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc27a4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc29a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Slc29a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc29a4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slc2a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Slc2a13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Martinotti cell,Slc30a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc35a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc35a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc35b4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc35d1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Slc35f1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc35g2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc36a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc36a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Slc38a11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Slc38a11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Slc39a12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slc40a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc46a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc48a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc4a10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc4a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Slc4a4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Slc4a4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc4a8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc52a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Slc5a5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Slc5a7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Slc6a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Slc6a11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc6a17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Slc6a20a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Slc6a20a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc6a4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slc7a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc7a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Slc7a10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Slc7a11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc7a11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Slc7a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Slc7a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slc7a5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Slc7a8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc7a8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc9a3r1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slc9a3r2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slc9a3r2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Slc9a9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Slc9a9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Slc9a9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Slc9b2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slco1a4,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slco1c1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Slco2b1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Slco2b1,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Slco4a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slco5a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,Slit2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Slit2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,Slit3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Slitrk1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Slitrk2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Smad1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Smad1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Smad6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Smad7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Smarca5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Smarcal1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Smco3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Smim13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Smim15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Smim22,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Smim3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Smoc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Smpx,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Snap25,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Snca,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sncb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Sncg,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Sned1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Snhg17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Snhg4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Snhg7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Snn,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Snora70,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Snph,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Snrpd3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Snrpn,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Snta1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Sntb1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Sntb1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Sntb1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Sntb2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sntg2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Snx2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Snx22,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Snx25,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Snx27,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Martinotti cell,Snx8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Snx8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Socs1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sorbs1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Sorbs2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sorcs3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Sorl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sowahb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,O cell,Sox10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Sox10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sox10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Early intermediate precursor cell,Sox11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Sox12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Sox17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neural stem cell,Sox2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ventral otocyst,Sox2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sox2ot,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Sox5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Sox6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Sox9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Sox9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neural stem cell,Sox9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Quiescent neural stem cell,Sox9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Sp8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Spag16,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Spag17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Sparc,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Sparcl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Spata13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Spata13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Spata17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Spata24,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Spats2l,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Specc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Spef2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Speg,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Sphk1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Sphkap,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Spire2,Single-cell sequencing,1,DETAIL
